Tripadvisor,description,address,Excelente,Muybueno,Normal,Malo,Pesimo
El Bosque del Recuerdo,"DescriptionThe Forest of Remembrance, formerly known as the Forest of the Departed, is a memorial garden located in the park of Parque del Buen Retiro in Madrid, Spain that commemorates the 191 civilian victims of the 2004 Madrid train bombings and the special forces agent who died in the attacks on 11 March 2004. Wikipedia","calle Alfonso XII | Parque del Retiro, 28009 Madrid, España",0,4,1,0,0
Calle de la Montera,"DescriptionThe Montera Street is a pedestrian street in the centre of Madrid. Starting from the south, it links the Puerta del Sol and the so-called Red de San Luis. It presents a south-north positive slope.
All its path falls within the limits of the Sol neighborhood, in turn part of the Centro District of the Spanish capital. Wikipedia","Madrid, España",3,10,9,2,7
Statue of Eloy Gonzalo,"DescriptionEl Rastro de Madrid or simply el Rastro is the most popular open air flea market in Madrid. It is held every Sunday and public holiday during the year and is located along Plaza de Cascorro and Ribera de Curtidores, between Calle Embajadores and the Ronda de Toledo. Wikipedia","Plaza de Cascorro, Madrid, España",3,11,5,1,0
Hospital de Maudes,"DescriptionThe Hospital of Maudes is a former hospital located in Madrid, Spain.
It is a complex of buildings including a church. The buildings are linked apart from accommodation for infectious diseases. Wikipedia","Calle Maudes 17, 28003 Madrid, España",2,3,1,0,0
Palacio Bermejillo,"DescriptionThe Palace of Bermejillo, also known as the Palace of the Marquises of Bermejillo del Rey, is a building in Madrid, Spain, built in neo-plateresque style. It currently houses the seat of the Defender of the People. Wikipedia","Paseo Eduardo Dato 31, 28010 Madrid, España",1,3,1,0,0
Monastero reale dell'Incarnazione,"DescriptionThe Real Monasterio de la Encarnación is a convent of the order of Recolet Augustines located in Madrid, Spain. The institution mainly interned women from noble families, and was founded by the Queen Margaret of Austria, wife of Philip III, and thus was well endowed with wealth. Wikipedia","Plaza de Encarnacion 1, 28013 Madrid, España",2,1,0,0,1
Casita del Labrador,"DescriptionThe Casa del Labrador is a neoclassical palace in Aranjuez, Spain. The name means ""house of the farm labourer"", although it was intended for royal use. Wikipedia","Calle Reina s/n, 28021 Madrid, España",3,1,1,0,0
Barrio de Pacífico,DescriptionPacífico is a ward of Madrid belonging to the district of Retiro. Wikipedia,"Barrio de Pacifico Calles Cavanilles Valderribas,Ciudad de Barcelona,Menendez Pelayo,Plaza de MAriano de Cavia., 28007 Madrid, España",1,1,0,0,0
Cementerio de San Isidro,"DescriptionSaint Isidore Cemetery is a monumental cemetery in the Spanish capital Madrid. Its first courtyard was erected in 1811 and new expansions were added throughout the 19th Century. Its central courtyard, called “Patio de la Concepción” boasts a notable group of mausolea. Wikipedia","Calle Ermita del Santo 78, 28019 Madrid, España",7,4,1,0,1
El Rapto de Europa,"DescriptionRembrandt Harmenszoon van Rijn's The Abduction of Europa is one of his rare mythological subject paintings. The work is oil on canvas and now located in the J. Paul Getty Museum. The inspiration for the painting is Ovid's Metamorphoses, part of which tells the tale of Zeus's seduction and capture of Europa. Wikipedia","Aeropuerto de Adolfo Suarez Madrid-Barajas | Terminal T1, 28042 Madrid, España",2,0,1,0,0
Parroquia de Nuestra Señora del Buen Suceso,"DescriptionThe Iglesia de Nuestra Señora del Buen Suceso, commonly known as Iglesia del Buen Suceso was a church of Madrid that delimited the eastern part of the Puerta del Sol. The church comes from a remodeling of the Hospital Real de la Corte. Was doing functions of church and hospital since 1590. Wikipedia","Calle de la Princesa 43 | Platz, 28008 Madrid, España",5,2,4,2,0
Día y Noche,"DescriptionWhen the two characters, Day and Night, meet, they are uncomfortable in each other's presence, but slowly they try to adjust with each other despite their stark differences.","Avenida de la Ciudad de Barcelona 3 | Junto Estación Atocha, 28007 Madrid, España",2,0,1,1,0
Instituto Valencia de Don Juan,"DescriptionThe Instituto Valencia of Don Juan is located in Madrid, Spain. It was declared Bien de Interés Cultural in 1981. Wikipedia","Calle Fortuny 43, 28010 Madrid, España",1,2,0,1,0
Real Casa de la Aduana,"DescriptionThe Real Casa de la Aduana is the headquarters of Spain's Ministry of Economy and Ministry of the Treasury.
It is located on Madrid's longest street, the Calle de Alcalá.
The eighteenth-century building has been modified over the years. It was declared Bien de Interés Cultural in 1998. Wikipedia","Calle Alcala 5, 28014 Madrid, España",3,0,8,0,0
Mezquita central de Abu Baker Assidiik,"DescriptionThe Madrid Central Mosque or Abu-Bakr Mosque is a building located in Cuatro Caminos neighborhood of Tetuán district. During its construction, its proximity to Estrecho metro station gave birth to the popular name of the Strait Mosque. Wikipedia","Calle Anastasio Herrero nº 5, 28020 Madrid, España",1,1,2,0,0
Barrio del Pilar,DescriptionEl Pilar is a ward of Madrid belonging to the district of Fuencarral-El Pardo. Wikipedia,"Barrio del Pilar, Madrid, España",4,9,6,2,1
Ministerio de Justicia,"DescriptionThe Ministry of Justice is the department of the Government of Spain responsible for preparing and carrying out the government policy in order to bring the legal system off, specially in criminal, civil, ... Wikipedia","Calle San Bernardo 45, 28015 Madrid, España",6,0,7,3,1
Glorieta de Bilbao,"DescriptionThe Glorieta de Bilbao is a star-shaped roundabout located in Madrid, Spain; named after the city of Bilbao. Wikipedia","Glorieta de Bilbao, 28004 Madrid, España",4,2,3,1,1
Estacion de Paco de Lucia,"DescriptionPaco de Lucía station completes extension of Line 9 of the Madrid Metro. It is located in fare Zone A and brings Metro to 50.000 new potential users. It opened on 25 March 2015, at the time making it station 301 of the Metro Madrid network. Wikipedia","Calle Costa Brava 18, 28034 Madrid, España",2,0,3,0,0
Ermita de San Pelayo y San Isidoro,"DescriptionThe Ermita de San Pelayo y San Isidoro is a ruined Romanesque church, originally in the city of Ávila, Spain. It was built outside the city walls, in front to the Gate of Malaventura in the south side of the Walls. In Ávila remains an area known as Atrium of San Isidro. Wikipedia","Paseo Fernán Núñez, 28 | Parque del Retiro, 28009 Madrid, España",0,1,2,0,0
Ministerio de Sanidad,"DescriptionThe Ministry of Health, Consumer Affairs and Social Welfare is the department of the Government of Spain responsible for proposing and executing the government policy on health, planning and providing healthcare and protecting consumers. Wikipedia","Paseo del Prado 18-20, 28014 Madrid, España",2,0,1,2,1
Cementerio Britanico,"DescriptionThe British Cemetery in Madrid was opened in 1854 in the Carabanchel district of Madrid, Spain, and the first burials took place that year. Few burials take place in the cemetery today because it is full, but there is provision for the interment of cremated remains. Wikipedia","Calle del Comandante Fontanes 7, 28019 Madrid, España",0,0,1,0,0
Plaza de Cuzco,DescriptionCuzco is a station on Line 10 of the Madrid Metro. It is located in fare Zone A. Wikipedia,"Plaza de cuzco, Madrid, España",1,2,11,4,1
